湾湾频道,#genre#
CCTV5+,http://192.168.2.3:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://192.168.2.3:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV6,http://192.168.2.3:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV6,http://192.168.2.3:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://192.168.2.3:35455/ysptp/cctv7.m3u8
CCTV7,http://192.168.2.3:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV7,http://192.168.2.3:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV7,http://192.168.2.3:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://192.168.2.3:35455/ysptp/cctv8.m3u8
CCTV8,http://192.168.2.3:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV8,http://192.168.2.3:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://192.168.2.3:35455/ysptp/cctv9.m3u8
CCTV9,http://192.168.2.3:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV9,http://192.168.2.3:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV9,http://192.168.2.3:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://192.168.2.3:35455/ysptp/cctv10.m3u8
CCTV10,http://192.168.2.3:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV10,http://192.168.2.3:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV10,http://192.168.2.3:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://192.168.2.3:35455/ysptp/cctv11.m3u8
CCTV11,http://192.168.2.3:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV11,http://192.168.2.3:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://192.168.2.3:35455/ysptp/cctv12.m3u8
CCTV12,http://192.168.2.3:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV12,http://192.168.2.3:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV12,http://192.168.2.3:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV13,http://192.168.2.3:35455/ysptp/cctv13.m3u8
CCTV13,http://192.168.2.3:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://192.168.2.3:35455/ysptp/cctv14.m3u8
CCTV14,http://192.168.2.3:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV14,http://192.168.2.3:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV14,http://192.168.2.3:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://192.168.2.3:35455/ysptp/cctv15.m3u8
CCTV15,http://192.168.2.3:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV15,http://192.168.2.3:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://192.168.2.3:35455/ysptp/cctv16.m3u8
CCTV16,http://192.168.2.3:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV16,http://192.168.2.3:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV16-4k,http://192.168.2.3:35455/ysptp/cctv4k16_10m.m3u8
CCTV16-4k,http://192.168.2.3:35455/ysptp/cctv4k16_10m.m3u8
CCTV16-4k,http://192.168.2.3:35455/ysptp/cctv4k16.m3u8
CCTV17,http://192.168.2.3:35455/ysptp/cctv17.m3u8
CCTV17,http://192.168.2.3:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV17,http://192.168.2.3:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV4k,http://192.168.2.3:35455/ysptp/cctv4k_10m.m3u8
CCTV4k,http://192.168.2.3:35455/ysptp/cctv4k.m3u8
CCTV8k,http://192.168.2.3:35455/ysptp/cctv8k_36m.m3u8
CCTV8k,http://192.168.2.3:35455/ysptp/cctv8k_120m.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
华数4K,http://192.168.2.3:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享4K,http://192.168.2.3:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
咪咕4K,http://192.168.2.3:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K,http://192.168.2.3:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
CGTN,http://192.168.2.3:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN记录,http://192.168.2.3:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
CGTNALBY,http://192.168.2.3:35455/ysptp/cgtnar.m3u8
CGTNdocumentary,http://192.168.2.3:35455/ysptp/cgtndoc.m3u8
CGTNEN,http://192.168.2.3:35455/ysptp/cgtnen.m3u8
CGTNfrench,http://192.168.2.3:35455/ysptp/cgtnfr.m3u8
CGTNru,http://192.168.2.3:35455/ysptp/cgtnru.m3u8
CGTNsp,http://192.168.2.3:35455/ysptp/cgtnsp.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
中国教育1台,http://192.168.2.3:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育4台,http://192.168.2.3:35455/itv/5000000011000031126.m3u8?cdn=bestzb

卫视【肥羊】,#genre#
北京卫视,http://192.168.2.3:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://192.168.2.3:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://192.168.2.3:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教,http://192.168.2.3:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://192.168.2.3:35455/itv/7851974109718180595.m3u8?cdn=bestzb
安徽卫视,http://192.168.2.3:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://192.168.2.3:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://192.168.2.3:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://192.168.2.3:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://192.168.2.3:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://192.168.2.3:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://192.168.2.3:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://192.168.2.3:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://192.168.2.3:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://192.168.2.3:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://192.168.2.3:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://192.168.2.3:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://192.168.2.3:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://192.168.2.3:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://192.168.2.3:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://192.168.2.3:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://192.168.2.3:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://192.168.2.3:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://192.168.2.3:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://192.168.2.3:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://192.168.2.3:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://192.168.2.3:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://192.168.2.3:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://192.168.2.3:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南,http://192.168.2.3:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://192.168.2.3:35455/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://192.168.2.3:35455/itv/5000000011000031117.m3u8?cdn=bestzb
